sub_region,country,drug,year,wholesale_price,retail_price
North America,United States of America,Cocaine,1990,48300,79.95
North America,United States of America,Cocaine,1991,48100,76.58
North America,United States of America,Cocaine,1992,44730,72.79
North America,United States of America,Cocaine,1993,42180,74.11
North America,United States of America,Cocaine,1994,38640,68.01
North America,United States of America,Cocaine,1995,35700,72.01
North America,United States of America,Cocaine,1996,34320,73.03
North America,United States of America,Cocaine,1997,31960,72.37
North America,United States of America,Cocaine,1998,30870,72.49
North America,United States of America,Cocaine,1999,29580,70.22
North America,United States of America,Cocaine,2000,21500,76.73
North America,United States of America,Cocaine,2001,23000,73.54
North America,United States of America,Cocaine,2002,21500,71.03
North America,United States of America,Cocaine,2003,22066,73.78
North America,United States of America,Cocaine,2004,20500,69.63
North America,United States of America,Cocaine,2005,20500,66.18
North America,United States of America,Cocaine,2006,26500,64.03
North America,United States of America,Cocaine,2007,31000,69.62
North America,United States of America,Cocaine,2008,26500,78.28
North America,United States of America,Cocaine,2009,28250,83.68
North America,United States of America,Cocaine,2010,30750,83.74
North America,United States of America,Cocaine,2011,40800,84.88
North America,United States of America,Cocaine,2012,29000,96.39
North America,United States of America,Cocaine,2013,28750,98.72
North America,United States of America,Cocaine,2014,29000,103.09
North America,United States of America,Cocaine,2015,28250,103
North America,United States of America,Cocaine,2016,28000,91.79
North America,United States of America,Cocaine,2017,28000,98
North America,United States of America,Cocaine,2018,26000,101
North America,United States of America,Cocaine,2019,29000,120
North America,United States of America,Cocaine,2020,29000,120
North America,United States of America,Heroin,1990,162500,359.02
North America,United States of America,Heroin,1991,155000,427.78
North America,United States of America,Heroin,1992,150000,480.52
North America,United States of America,Heroin,1993,146000,373.51
North America,United States of America,Heroin,1994,142500,399.68
North America,United States of America,Heroin,1995,146000,395.16
North America,United States of America,Heroin,1996,141875,339.28
North America,United States of America,Heroin,1997,129375,357.01
North America,United States of America,Heroin,1998,125000,322.75
North America,United States of America,Heroin,1999,107000,310.18
North America,United States of America,Heroin,2000,81200,307.06
North America,United States of America,Heroin,2001,59500,284.89
North America,United States of America,Heroin,2002,50750,282.35
North America,United States of America,Heroin,2003,68800,267.88
North America,United States of America,Heroin,2004,65500,252.84
North America,United States of America,Heroin,2005,65000,255.61
North America,United States of America,Heroin,2006,65000,258.61
North America,United States of America,Heroin,2007,71200,229.52
North America,United States of America,Heroin,2008,57500,310.33
North America,United States of America,Heroin,2009,65053.25,274.89
North America,United States of America,Heroin,2010,65750,279.03
North America,United States of America,Heroin,2011,55583.33,260.43
North America,United States of America,Heroin,2012,61000,271.3
North America,United States of America,Heroin,2013,61000,259.59
North America,United States of America,Heroin,2014,68333.33,264.68
North America,United States of America,Heroin,2015,59500,264.94
North America,United States of America,Heroin,2016,53333.33,293.64
North America,United States of America,Heroin,2017,53333.33,360.85
North America,United States of America,Heroin,2018,53000,393.85
North America,United States of America,Heroin,2019,53000,393.85
North America,United States of America,Heroin,2020,53000,393.85
Western and Central Europe,Austria,Cocaine,1990,66000,198
Western and Central Europe,Austria,Cocaine,1991,66000,180
Western and Central Europe,Austria,Cocaine,1992,54000,167
Western and Central Europe,Austria,Cocaine,1993,40000,120
Western and Central Europe,Austria,Cocaine,1994,41946,126
Western and Central Europe,Austria,Cocaine,1995,52084,156
Western and Central Europe,Austria,Cocaine,1996,45875,138
Western and Central Europe,Austria,Cocaine,1997,56723,118
Western and Central Europe,Austria,Cocaine,1998,54440,113
Western and Central Europe,Austria,Cocaine,1999,38859,93
Western and Central Europe,Austria,Cocaine,2000,47094,94
Western and Central Europe,Austria,Cocaine,2001,43995,78
Western and Central Europe,Austria,Cocaine,2002,42385,71
Western and Central Europe,Austria,Cocaine,2003,59300,90
Western and Central Europe,Austria,Cocaine,2004,55894,103
Western and Central Europe,Austria,Cocaine,2005,59757,101
Western and Central Europe,Austria,Cocaine,2006,50185,78
Western and Central Europe,Austria,Cocaine,2007,61661,99
Western and Central Europe,Austria,Cocaine,2008,66176,110
Western and Central Europe,Austria,Cocaine,2009,48668,97
Western and Central Europe,Austria,Cocaine,2010,52989,97
Western and Central Europe,Austria,Cocaine,2011,62823,103
Western and Central Europe,Austria,Cocaine,2012,51546,103
Western and Central Europe,Austria,Cocaine,2013,73351,100
Western and Central Europe,Austria,Cocaine,2014,65797,132
Western and Central Europe,Austria,Cocaine,2015,54705,109
Western and Central Europe,Austria,Cocaine,2016,58139.54,111
Western and Central Europe,Austria,Cocaine,2017,58922.56,111
Western and Central Europe,Austria,Cocaine,2018,58922.56,111
Western and Central Europe,Austria,Cocaine,2019,58922.56,111
Western and Central Europe,Austria,Cocaine,2020,61503.42,119.59
Western and Central Europe,Austria,Heroin,1990,55244,270
Western and Central Europe,Austria,Heroin,1991,46145,250
Western and Central Europe,Austria,Heroin,1992,63000,203
Western and Central Europe,Austria,Heroin,1993,36000,132
Western and Central Europe,Austria,Heroin,1994,37752,138
Western and Central Europe,Austria,Heroin,1995,30491,103
Western and Central Europe,Austria,Heroin,1996,30222,87
Western and Central Europe,Austria,Heroin,1997,28831,70
Western and Central Europe,Austria,Heroin,1998,34565,94
Western and Central Europe,Austria,Heroin,1999,31087,57
Western and Central Europe,Austria,Heroin,2000,25026,75
Western and Central Europe,Austria,Heroin,2001,19553,44
Western and Central Europe,Austria,Heroin,2002,23547,92
Western and Central Europe,Austria,Heroin,2003,33900,68
Western and Central Europe,Austria,Heroin,2004,37260,75
Western and Central Europe,Austria,Heroin,2005,36168,74
Western and Central Europe,Austria,Heroin,2006,37640,69
Western and Central Europe,Austria,Heroin,2007,54810,99
Western and Central Europe,Austria,Heroin,2008,58824,110
Western and Central Europe,Austria,Heroin,2009,41715,97
Western and Central Europe,Austria,Heroin,2010,39741,93
Western and Central Europe,Austria,Heroin,2011,41882,98
Western and Central Europe,Austria,Heroin,2012,30928,64
Western and Central Europe,Austria,Heroin,2013,40010,80
Western and Central Europe,Austria,Heroin,2014,32899,53
Western and Central Europe,Austria,Heroin,2015,27352,44
Western and Central Europe,Austria,Heroin,2016,27685,66
Western and Central Europe,Austria,Heroin,2017,32580.38,65
Western and Central Europe,Austria,Heroin,2018,37475.76,71
Western and Central Europe,Austria,Heroin,2019,42371.14,71
Western and Central Europe,Austria,Heroin,2020,47266.51,68.34
Western and Central Europe,Belgium,Cocaine,1990,25000,80
Western and Central Europe,Belgium,Cocaine,1991,24000,90
Western and Central Europe,Belgium,Cocaine,1992,38250,68
Western and Central Europe,Belgium,Cocaine,1993,28000,95
Western and Central Europe,Belgium,Cocaine,1994,26920,82
Western and Central Europe,Belgium,Cocaine,1995,30560,93
Western and Central Europe,Belgium,Cocaine,1996,21927,90
Western and Central Europe,Belgium,Cocaine,1997,17025,57
Western and Central Europe,Belgium,Cocaine,1998,19167,55
Western and Central Europe,Belgium,Cocaine,1999,23859,60
Western and Central Europe,Belgium,Cocaine,2000,22376,55
Western and Central Europe,Belgium,Cocaine,2001,26771,51
Western and Central Europe,Belgium,Cocaine,2002,28111,50
Western and Central Europe,Belgium,Cocaine,2003,29610,51
Western and Central Europe,Belgium,Cocaine,2004,32480,51
Western and Central Europe,Belgium,Cocaine,2005,32480,51
Western and Central Europe,Belgium,Cocaine,2006,32480,60
Western and Central Europe,Belgium,Cocaine,2007,47958,67
Western and Central Europe,Belgium,Cocaine,2008,53757,72
Western and Central Europe,Belgium,Cocaine,2009,46675,71
Western and Central Europe,Belgium,Cocaine,2010,46365,67
Western and Central Europe,Belgium,Cocaine,2011,46594,75
Western and Central Europe,Belgium,Cocaine,2012,48722,73
Western and Central Europe,Belgium,Cocaine,2013,44011,68
Western and Central Europe,Belgium,Cocaine,2014,41500.67,75.89
Western and Central Europe,Belgium,Cocaine,2015,31798,59
Western and Central Europe,Belgium,Cocaine,2016,29777.41,67
Western and Central Europe,Belgium,Cocaine,2017,32155,65
Western and Central Europe,Belgium,Cocaine,2018,31609,66
Western and Central Europe,Belgium,Cocaine,2019,32350.5,57
Western and Central Europe,Belgium,Cocaine,2020,33029.61,59.52
Western and Central Europe,Belgium,Heroin,1990,30000,90
Western and Central Europe,Belgium,Heroin,1991,30000,105
Western and Central Europe,Belgium,Heroin,1992,28500,105
Western and Central Europe,Belgium,Heroin,1993,26600,77
Western and Central Europe,Belgium,Heroin,1994,29586,75
Western and Central Europe,Belgium,Heroin,1995,32580,75
Western and Central Europe,Belgium,Heroin,1996,24307,56
Western and Central Europe,Belgium,Heroin,1997,21761,37
Western and Central Europe,Belgium,Heroin,1998,20847,41
Western and Central Europe,Belgium,Heroin,1999,18557,41
Western and Central Europe,Belgium,Heroin,2000,18360,37
Western and Central Europe,Belgium,Heroin,2001,20292,27
Western and Central Europe,Belgium,Heroin,2002,22229,29
Western and Central Europe,Belgium,Heroin,2003,20960,31
Western and Central Europe,Belgium,Heroin,2004,23040,32
Western and Central Europe,Belgium,Heroin,2005,23336,31
Western and Central Europe,Belgium,Heroin,2006,18820,32
Western and Central Europe,Belgium,Heroin,2007,20554,33
Western and Central Europe,Belgium,Heroin,2008,14706,36
Western and Central Europe,Belgium,Heroin,2009,15991,33
Western and Central Europe,Belgium,Heroin,2010,15102,32
Western and Central Europe,Belgium,Heroin,2011,10720,42
Western and Central Europe,Belgium,Heroin,2012,20619,36
Western and Central Europe,Belgium,Heroin,2013,18338,37
Western and Central Europe,Belgium,Heroin,2014,17519.31,33
Western and Central Europe,Belgium,Heroin,2015,17505,24
Western and Central Europe,Belgium,Heroin,2016,26578.07,26
Western and Central Europe,Belgium,Heroin,2017,22638.57,29
Western and Central Europe,Belgium,Heroin,2018,18699.06,23
Western and Central Europe,Belgium,Heroin,2019,14759.55,23
Western and Central Europe,Belgium,Heroin,2020,10820.05,21.07
Western and Central Europe,Denmark,Cocaine,1990,80000,144
Western and Central Europe,Denmark,Cocaine,1991,85000,135
Western and Central Europe,Denmark,Cocaine,1992,85000,111
Western and Central Europe,Denmark,Cocaine,1993,82500,90
Western and Central Europe,Denmark,Cocaine,1994,58516,150
Western and Central Europe,Denmark,Cocaine,1995,60034,176
Western and Central Europe,Denmark,Cocaine,1996,46141,169
Western and Central Europe,Denmark,Cocaine,1997,38640,108
Western and Central Europe,Denmark,Cocaine,1998,44517,119
Western and Central Europe,Denmark,Cocaine,1999,78900,165
Western and Central Europe,Denmark,Cocaine,2000,43462,106
Western and Central Europe,Denmark,Cocaine,2001,47839,120
Western and Central Europe,Denmark,Cocaine,2002,37823,91
Western and Central Europe,Denmark,Cocaine,2003,53160,122
Western and Central Europe,Denmark,Cocaine,2004,45896,82
Western and Central Europe,Denmark,Cocaine,2005,50321,82
Western and Central Europe,Denmark,Cocaine,2006,40520,81
Western and Central Europe,Denmark,Cocaine,2007,40445,74
Western and Central Europe,Denmark,Cocaine,2008,43447,99
Western and Central Europe,Denmark,Cocaine,2009,40730,93
Western and Central Europe,Denmark,Cocaine,2010,44501,89
Western and Central Europe,Denmark,Cocaine,2011,47083,94
Western and Central Europe,Denmark,Cocaine,2012,43286,87
Western and Central Europe,Denmark,Cocaine,2013,44395,92
Western and Central Europe,Denmark,Cocaine,2014,49140,103
Western and Central Europe,Denmark,Cocaine,2015,29326,73
Western and Central Europe,Denmark,Cocaine,2016,29740,74
Western and Central Europe,Denmark,Cocaine,2017,45262.52,74
Western and Central Europe,Denmark,Cocaine,2018,39626,95
Western and Central Europe,Denmark,Cocaine,2019,37492.5,105
Western and Central Europe,Denmark,Cocaine,2020,37492.5,105
Western and Central Europe,Denmark,Heroin,1990,110000,287
Western and Central Europe,Denmark,Heroin,1991,100000,265
Western and Central Europe,Denmark,Heroin,1992,85000,151
Western and Central Europe,Denmark,Heroin,1993,95000,139
Western and Central Europe,Denmark,Heroin,1994,117625,228
Western and Central Europe,Denmark,Heroin,1995,106805,191
Western and Central Europe,Denmark,Heroin,1996,86806,157
Western and Central Europe,Denmark,Heroin,1997,100465,188
Western and Central Europe,Denmark,Heroin,1998,65693,147
Western and Central Europe,Denmark,Heroin,1999,61507,175
Western and Central Europe,Denmark,Heroin,2000,23585,116
Western and Central Europe,Denmark,Heroin,2001,32889,111
Western and Central Europe,Denmark,Heroin,2002,20803,126
Western and Central Europe,Denmark,Heroin,2003,41770,122
Western and Central Europe,Denmark,Heroin,2004,32820,94
Western and Central Europe,Denmark,Heroin,2005,37741,123
Western and Central Europe,Denmark,Heroin,2006,35967,100
Western and Central Europe,Denmark,Heroin,2007,33091,92
Western and Central Europe,Denmark,Heroin,2008,52335,158
Western and Central Europe,Denmark,Heroin,2009,49066,148
Western and Central Europe,Denmark,Heroin,2010,48952,151
Western and Central Europe,Denmark,Heroin,2011,51791,160
Western and Central Europe,Denmark,Heroin,2012,47614,147
Western and Central Europe,Denmark,Heroin,2013,64743,148
Western and Central Europe,Denmark,Heroin,2014,40950,139
Western and Central Europe,Denmark,Heroin,2015,47654,103
Western and Central Europe,Denmark,Heroin,2016,44610,104
Western and Central Europe,Denmark,Heroin,2017,45263,106
Western and Central Europe,Denmark,Heroin,2018,51514,135
Western and Central Europe,Denmark,Heroin,2019,37492.5,90
Western and Central Europe,Denmark,Heroin,2020,37492.5,90
Western and Central Europe,Finland,Cocaine,1990,79500,159
Western and Central Europe,Finland,Cocaine,1991,75000,150
Western and Central Europe,Finland,Cocaine,1992,62750,126
Western and Central Europe,Finland,Cocaine,1993,52500,105
Western and Central Europe,Finland,Cocaine,1994,82500,165
Western and Central Europe,Finland,Cocaine,1995,95450,191
Western and Central Europe,Finland,Cocaine,1996,91750,184
Western and Central Europe,Finland,Cocaine,1997,61550,123
Western and Central Europe,Finland,Cocaine,1998,89350,179
Western and Central Europe,Finland,Cocaine,1999,78460,157
Western and Central Europe,Finland,Cocaine,2000,68321,138
Western and Central Europe,Finland,Cocaine,2001,59492,121
Western and Central Europe,Finland,Cocaine,2002,51804,111
Western and Central Europe,Finland,Cocaine,2003,62150,151
Western and Central Europe,Finland,Cocaine,2004,68315,146
Western and Central Europe,Finland,Cocaine,2005,68315,125
Western and Central Europe,Finland,Cocaine,2006,56611,100
Western and Central Europe,Finland,Cocaine,2007,61660,110
Western and Central Europe,Finland,Cocaine,2008,66176,154
Western and Central Europe,Finland,Cocaine,2009,62573,139
Western and Central Europe,Finland,Cocaine,2010,59612,106
Western and Central Europe,Finland,Cocaine,2011,97724,112
Western and Central Europe,Finland,Cocaine,2012,90206,103
Western and Central Europe,Finland,Cocaine,2013,130032,107
Western and Central Europe,Finland,Cocaine,2014,128305,145
Western and Central Europe,Finland,Cocaine,2015,95733,126
Western and Central Europe,Finland,Cocaine,2016,77519,111
Western and Central Europe,Finland,Cocaine,2017,78563,112
Western and Central Europe,Finland,Cocaine,2018,94451,118
Western and Central Europe,Finland,Cocaine,2019,89585.67,112
Western and Central Europe,Finland,Cocaine,2020,96810.93,125.28
Western and Central Europe,Finland,Heroin,1990,353774,800
Western and Central Europe,Finland,Heroin,1991,353774,696
Western and Central Europe,Finland,Heroin,1992,353774,770
Western and Central Europe,Finland,Heroin,1993,353774,724
Western and Central Europe,Finland,Heroin,1994,353774,606
Western and Central Europe,Finland,Heroin,1995,353774,455
Western and Central Europe,Finland,Heroin,1996,321586,414
Western and Central Europe,Finland,Heroin,1997,199442,257
Western and Central Europe,Finland,Heroin,1998,197856,254
Western and Central Europe,Finland,Heroin,1999,194357,250
Western and Central Europe,Finland,Heroin,2000,161034,207
Western and Central Europe,Finland,Heroin,2001,44840,121
Western and Central Europe,Finland,Heroin,2002,51804,188
Western and Central Europe,Finland,Heroin,2003,51800,195
Western and Central Europe,Finland,Heroin,2004,68314,195
Western and Central Europe,Finland,Heroin,2005,69192,182
Western and Central Europe,Finland,Heroin,2006,69192,125
Western and Central Europe,Finland,Heroin,2007,54810,151
Western and Central Europe,Finland,Heroin,2008,58824,235
Western and Central Europe,Finland,Heroin,2009,58824,223
Western and Central Europe,Finland,Heroin,2010,52989,159
Western and Central Europe,Finland,Heroin,2011,55843,168
Western and Central Europe,Finland,Heroin,2012,51546,155
Western and Central Europe,Finland,Heroin,2013,53346,160
Western and Central Europe,Finland,Heroin,2014,53346,185
Western and Central Europe,Finland,Heroin,2015,53346,164
Western and Central Europe,Finland,Heroin,2016,53346,166
Western and Central Europe,Finland,Heroin,2017,53346,168
Western and Central Europe,Finland,Heroin,2018,53346,177
Western and Central Europe,Finland,Heroin,2019,53346,177
Western and Central Europe,Finland,Heroin,2020,53346,199.09
Western and Central Europe,France,Cocaine,1990,117000,99
Western and Central Europe,France,Cocaine,1991,38250,119
Western and Central Europe,France,Cocaine,1992,45000,140
Western and Central Europe,France,Cocaine,1993,38250,153
Western and Central Europe,France,Cocaine,1994,40000,151
Western and Central Europe,France,Cocaine,1995,39877,174
Western and Central Europe,France,Cocaine,1996,48077,125
Western and Central Europe,France,Cocaine,1997,43554,87
Western and Central Europe,France,Cocaine,1998,42159,84
Western and Central Europe,France,Cocaine,1999,27714,82
Western and Central Europe,France,Cocaine,2000,27000,50
Western and Central Europe,France,Cocaine,2001,34978,87
Western and Central Europe,France,Cocaine,2002,37676,75
Western and Central Europe,France,Cocaine,2003,45200,90
Western and Central Europe,France,Cocaine,2004,49683,99
Western and Central Europe,France,Cocaine,2005,50321,94
Western and Central Europe,France,Cocaine,2006,50190,97
Western and Central Europe,France,Cocaine,2007,61661,96
Western and Central Europe,France,Cocaine,2008,44118,103
Western and Central Europe,France,Cocaine,2009,41715,83
Western and Central Europe,France,Cocaine,2010,39741,80
Western and Central Europe,France,Cocaine,2011,38392,87
Western and Central Europe,France,Cocaine,2012,38660,84
Western and Central Europe,France,Cocaine,2013,40010,87
Western and Central Europe,France,Cocaine,2014,46058,86
Western and Central Europe,France,Cocaine,2015,38293,71
Western and Central Europe,France,Cocaine,2016,37728.67,71
Western and Central Europe,France,Cocaine,2017,37164.33,71
Western and Central Europe,France,Cocaine,2018,36600,83
Western and Central Europe,France,Cocaine,2019,34714.45,78
Western and Central Europe,France,Cocaine,2020,38154.9,75.17
Western and Central Europe,France,Heroin,1990,180000,145
Western and Central Europe,France,Heroin,1991,72250,153
Western and Central Europe,France,Heroin,1992,80000,150
Western and Central Europe,France,Heroin,1993,63750,135
Western and Central Europe,France,Heroin,1994,75000,144
Western and Central Europe,France,Heroin,1995,66035,170
Western and Central Europe,France,Heroin,1996,46603,156
Western and Central Europe,France,Heroin,1997,32230,113
Western and Central Europe,France,Heroin,1998,25885,119
Western and Central Europe,France,Heroin,1999,25596,111
Western and Central Europe,France,Heroin,2000,22158,32
Western and Central Europe,France,Heroin,2001,26906,34
Western and Central Europe,France,Heroin,2002,23547,47
Western and Central Europe,France,Heroin,2003,28250,57
Western and Central Europe,France,Heroin,2004,31050,68
Western and Central Europe,France,Heroin,2005,31450,69
Western and Central Europe,France,Heroin,2006,35550,67
Western and Central Europe,France,Heroin,2007,34246,55
Western and Central Europe,France,Heroin,2008,36743,66
Western and Central Europe,France,Heroin,2009,17385,56
Western and Central Europe,France,Heroin,2010,15897,53
Western and Central Europe,France,Heroin,2011,11169,49
Western and Central Europe,France,Heroin,2012,13853,45
Western and Central Europe,France,Heroin,2013,13337,47
Western and Central Europe,France,Heroin,2014,19739,46
Western and Central Europe,France,Heroin,2015,16411,38
Western and Central Europe,France,Heroin,2016,16844,39
Western and Central Europe,France,Heroin,2017,17277,40
Western and Central Europe,France,Heroin,2018,17710,41
